iter	Passed	Remaining
432	1896	2482
433	1905	2484
434	1907	2477
435	1909	2469
436	1911	2462
437	1913	2454
438	1923	2457
439	1925	2450
440	1928	2444
441	1936	2445
442	1939	2438
443	1941	2431
444	1943	2423
445	1951	2423
446	1952	2416
447	1954	2407
448	1955	2399
449	1957	2391
450	1958	2384
451	1965	2382
452	1966	2375
453	1968	2367
454	1969	2359
455	1970	2351
456	1972	2343
457	1973	2335
458	1979	2333
459	1981	2326
460	1983	2318
461	1984	2311
462	1986	2303
463	1987	2295
464	1988	2288
465	1995	2286
466	1996	2278
467	1998	2271
468	2000	2264
469	2001	2257
470	2003	2249
471	2008	2246
472	2010	2240
473	2012	2233
474	2013	2225
475	2015	2218
476	2017	2212
477	2018	2204
478	2024	2202
479	2026	2195
480	2027	2188
481	2029	2180
482	2031	2174
483	2032	2167
484	2034	2159
485	2039	2156
486	2040	2149
487	2041	2142
488	2043	2135
489	2044	2128
490	2045	2120
491	2047	2113
492	2048	2106
493	2054	2104
494	2056	2097
495	2057	2090
496	2058	2083
497	2059	2076
498	2061	2069
499	2062	2062
500	2063	2055
501	2066	2050
502	2068	2043
503	2069	2036
504	2070	2029
505	2072	2023
506	2073	2016
507	2074	2009
508	2080	2006
509	2082	2000
510	2084	1994
511	2085	1988
512	2087	1981
513	2089	1975
514	2094	1972
515	2097	1967
516	2098	1960
517	2100	1954
518	2101	1947
519	2103	1941
520	2104	1934
521	2110	1932
522	2112	1926
523	2113	1920
524	2115	1913
525	2116	1907
526	2117	1900
527	2119	1894
528	2124	1891
529	2126	1885
530	2127	1879
531	2128	1872
532	2130	1866
533	2131	1860
534	2133	1854
535	2134	1847
536	2137	1842
537	2138	1836
538	2140	1830
539	2141	1824
540	2143	1818
541	2144	1812
542	2145	1805
543	2151	1803
544	2152	1797
545	2154	1791
546	2155	1784
547	2157	1779
548	2159	1773
549	2160	1767
550	2166	1765
551	2168	1759
552	2169	1753
553	2171	1747
554	2173	1742
555	2174	1736
556	2179	1733
557	2181	1727
558	2183	1722
559	2184	1716
560	2185	1710
561	2187	1704
562	2188	1698
563	2189	1692
564	2195	1690
565	2197	1684
566	2198	1679
567	2200	1673
568	2201	1667
569	2202	1661
570	2204	1656
571	2209	1653
572	2210	1647
573	2212	1642
574	2214	1636
575	2215	1630
576	2216	1625
577	2218	1619
578	2219	1613
579	2221	1608
580	2223	1603
581	2225	1598
582	2226	1592
583	2227	1586
584	2229	1581
585	2230	1575
586	2236	1573
587	2238	1568
588	2239	1562
589	2240	1557
590	2242	1551
591	2243	1546
592	2244	1540
593	2249	1537
594	2252	1533
595	2254	1528
596	2255	1522
597	2256	1517
598	2258	1511
599	2259	1506
600	2267	1505
601	2269	1500
602	2271	1495
603	2272	1489
604	2274	1484
605	2275	1479
606	2280	1476
607	2282	1471
608	2284	1466
609	2285	1461
610	2287	1456
611	2288	1450
612	2289	1445
613	2295	1443
614	2297	1438
615	2298	1433
616	2300	1427
617	2301	1422
618	2302	1417
619	2304	1412
620	2310	1410
621	2312	1405
622	2314	1400
623	2315	1395
624	2316	1390
625	2318	1385
626	2319	1379
627	2325	1377
628	2326	1372
629	2328	1367
630	2330	1362
631	2331	1357
632	2332	1352
633	2334	1347
634	2339	1344
635	2341	1340
636	2343	1335
637	2344	1330
638	2345	1325
639	2346	1320
640	2348	1315
641	2349	1310
642	2352	1306
643	2354	1301
644	2355	1296
645	2357	1291
646	2359	1287
647	2360	1282
648	2366	1279
649	2368	1275
650	2370	1270
651	2371	1265
652	2373	1261
653	2374	1256
654	2380	1254
655	2382	1249
656	2384	1244
657	2385	1239
658	2386	1234
659	2387	1230
660	2389	1225
661	2398	1224
662	2400	1220
663	2401	1215
664	2403	1210
665	2412	1209
666	2414	1205
667	2416	1201
668	2418	1196
669	2420	1192
670	2428	1190
671	2430	1186
672	2433	1182
673	2435	1178
674	2444	1177
675	2447	1173
676	2450	1169
677	2457	1167
678	2460	1163
679	2461	1158
680	2463	1154
681	2465	1149
682	2466	1144
683	2474	1143
684	2476	1138
685	2477	1134
686	2479	1129
687	2482	1125
688	2490	1124
689	2492	1119
690	2494	1115
691	2497	1111
692	2506	1110
693	2508	1106
694	2511	1102
695	2520	1100
696	2523	1097
697	2525	1092
698	2527	1088
699	2535	1086
700	2538	1082
701	2541	1078
702	2549	1076
703	2551	1072
704	2553	1068
705	2554	1063
706	2556	1059
707	2558	1054
708	2564	1052
709	2567	1048
710	2568	1044
711	2573	1041
712	2579	1038
713	2581	1033
714	2583	1029
715	2593	1028
716	2596	1024
717	2598	1020
718	2605	1018
719	2608	1014
720	2610	1010
721	2612	1005
722	2614	1001
723	2622	999
724	2624	995
725	2626	991
726	2628	986
727	2629	982
728	2637	980
729	2640	976
730	2643	972
731	2650	970
732	2652	966
733	2655	962
734	2657	958
735	2659	953
736	2661	949
737	2665	946
738	2667	942
739	2670	938
740	2672	934
741	2678	931
742	2680	927
743	2682	922
744	2683	918
745	2685	914
746	2697	913
747	2710	913
748	2712	909
749	2715	905
750	2717	901
751	2729	900
752	2744	900
753	2746	895
754	2747	891
755	2749	887
756	2753	883
757	2755	879
758	2757	875
759	2758	871
760	2769	869
